Run,Agent,Iteration,Total Conversions
2,Truthful Competitor 5,11,224
2,Truthful Competitor 5,12,233
2,Truthful Competitor 5,13,220
2,Truthful Competitor 5,14,274
2,Truthful Competitor 5,15,207
2,Truthful Competitor 5,16,239
2,Truthful Competitor 5,17,246
2,Truthful Competitor 5,18,232
2,Truthful Competitor 5,19,236
2,Truthful Competitor 5,20,236
2,Truthful Competitor 5,21,237
2,Truthful Competitor 5,22,225
2,Truthful Competitor 5,23,259
2,Truthful Competitor 5,24,233
2,Truthful Competitor 6,0,34
2,Truthful Competitor 6,1,83
2,Truthful Competitor 6,2,49
2,Truthful Competitor 6,3,55
2,Truthful Competitor 6,4,52
2,Truthful Competitor 6,5,55
2,Truthful Competitor 6,6,43
2,Truthful Competitor 6,7,50
2,Truthful Competitor 6,8,51
2,Truthful Competitor 6,9,43
2,Truthful Competitor 6,10,43
2,Truthful Competitor 6,11,49
2,Truthful Competitor 6,12,61
2,Truthful Competitor 6,13,55
2,Truthful Competitor 6,14,49
2,Truthful Competitor 6,15,44
2,Truthful Competitor 6,16,44
2,Truthful Competitor 6,17,44
2,Truthful Competitor 6,18,47
2,Truthful Competitor 6,19,48
2,Truthful Competitor 6,20,65
2,Truthful Competitor 6,21,55
2,Truthful Competitor 6,22,58
2,Truthful Competitor 6,23,72
2,Truthful Competitor 6,24,59
