Run,Iteration,Measure,Measure Name
2,7,20557.197813236988,Auction Revenue
2,8,20089.380420372618,Auction Revenue
2,9,20399.15910745781,Auction Revenue
2,10,20407.39480701976,Auction Revenue
2,11,20482.690701248663,Auction Revenue
2,12,20833.315263319273,Auction Revenue
2,13,20151.663702432208,Auction Revenue
2,14,20545.774239975115,Auction Revenue
2,15,20336.395317187085,Auction Revenue
2,16,20401.37884410369,Auction Revenue
2,17,20376.72111378985,Auction Revenue
2,18,20291.347947639613,Auction Revenue
2,19,20229.409154367306,Auction Revenue
2,20,20428.095103012856,Auction Revenue
2,21,20319.99440093816,Auction Revenue
2,22,20309.51450763479,Auction Revenue
2,23,20252.10796459096,Auction Revenue
2,24,20458.350646771793,Auction Revenue
0,0,-92430.63126360426,Social Surplus
0,1,-909.9047939453494,Social Surplus
0,2,18128.529894123254,Social Surplus
0,3,18603.014361900576,Social Surplus
0,4,18155.851947382223,Social Surplus
0,5,18551.795878049772,Social Surplus
0,6,17911.775628422918,Social Surplus
0,7,18300.354141486147,Social Surplus
0,8,18627.467756246653,Social Surplus
0,9,18109.767829477296,Social Surplus
0,10,18112.779967049064,Social Surplus
0,11,18574.89963836751,Social Surplus
0,12,18344.900808801198,Social Surplus
0,13,18684.343296293522,Social Surplus
0,14,18366.057575243292,Social Surplus
0,15,18409.194935049505,Social Surplus
0,16,18226.682338936083,Social Surplus
0,17,18166.545748979817,Social Surplus
0,18,18429.23827711725,Social Surplus
0,19,18388.122808756063,Social Surplus
0,20,17994.070853694146,Social Surplus
0,21,18782.987668698737,Social Surplus
0,22,17927.510484324936,Social Surplus
0,23,18442.091288492993,Social Surplus
0,24,18608.92904108055,Social Surplus
1,0,-91566.38400951345,Social Surplus
1,1,-2708.992156806423,Social Surplus
1,2,8098.990120509163,Social Surplus
1,3,11844.908770237158,Social Surplus
1,4,11573.56327660365,Social Surplus
1,5,11790.737888001924,Social Surplus
1,6,11164.735031415485,Social Surplus
1,7,11911.950249274723,Social Surplus
1,8,11650.578356824513,Social Surplus
1,9,11714.454800707545,Social Surplus
1,10,11592.058951614747,Social Surplus
1,11,11513.134469506758,Social Surplus
1,12,11697.334773843622,Social Surplus
1,13,11241.424850762018,Social Surplus
1,14,11547.397133381904,Social Surplus
1,15,11790.542449859346,Social Surplus
1,16,11428.165531046785,Social Surplus
1,17,12081.045044232433,Social Surplus
1,18,11204.24447374956,Social Surplus
1,19,11895.442338570732,Social Surplus
1,20,11452.481549239472,Social Surplus
1,21,11761.432102867535,Social Surplus
1,22,11750.026963674616,Social Surplus
1,23,11734.263105732274,Social Surplus
1,24,11974.308272948123,Social Surplus
2,0,-94994.80403136917,Social Surplus
2,1,-9589.97533280887,Social Surplus
2,2,16767.278205559425,Social Surplus
2,3,15174.466475792691,Social Surplus
2,4,17848.967541965372,Social Surplus
2,5,18111.373229097866,Social Surplus
2,6,18305.290344619716,Social Surplus
2,7,17782.869657882922,Social Surplus
2,8,18479.227854223474,Social Surplus
2,9,18316.776621309644,Social Surplus
2,10,18562.485226032255,Social Surplus
2,11,18191.594047355335,Social Surplus
2,12,17874.856146113365,Social Surplus
2,13,18584.044685253677,Social Surplus
2,14,17825.54357986798,Social Surplus
2,15,18501.802084107338,Social Surplus
2,16,18290.14922150163,Social Surplus
2,17,18275.56951452999,Social Surplus
2,18,18415.745117786297,Social Surplus
2,19,18481.392614783854,Social Surplus
2,20,18027.108405264535,Social Surplus
2,21,18276.76088242075,Social Surplus
2,22,18347.330373848603,Social Surplus
2,23,18549.253598699586,Social Surplus
2,24,18393.23080575467,Social Surplus
0,0,8619.059885810775,Social Welfare
0,1,29554.182423164588,Social Welfare
0,2,38333.98360869584,Social Welfare
0,3,38629.07405307472,Social Welfare
0,4,38668.098525598914,Social Welfare
0,5,39542.99952953987,Social Welfare
0,6,39245.99853216722,Social Welfare
0,7,39308.162800794504,Social Welfare
0,8,39687.93130433251,Social Welfare
0,9,39268.06755269889,Social Welfare
0,10,39194.79637566348,Social Welfare
0,11,39499.64910407827,Social Welfare
0,12,39372.29816189612,Social Welfare
